,SimGDA,SimGDA+M,AltGDA,AltGDA+M,EG,EG+M,AltEG,AltEG+M,OGD,OGD+M,AltOGD,AltOGD+M,AlexGDA,AlexGDA+M
0,325882,13155,629,90,190,152,198,129,174,126,83,66,72,47
1,452826,18286,870,133,412,262,396,210,366,207,167,106,153,88
2,430104,17227,799,116,444,144,426,123,397,120,180,62,55,38
3,396397,15939,753,125,366,272,378,225,326,203,149,116,137,85
4,433195,17314,790,286,754,570,720,525,678,506,308,259,278,191
5,400053,15957,726,76,192,182,198,144,173,143,78,76,71,54
6,454965,18294,868,98,192,158,210,150,198,144,98,74,82,55
7,368522,14626,644,153,248,234,276,225,267,224,139,113,111,82
8,420325,16934,806,88,208,148,243,129,221,121,100,58,89,43
9,489427,19653,921,248,410,336,513,405,495,275,255,132,198,146
10,382017,15451,744,90,172,146,186,129,172,129,81,64,69,44
11,474221,19132,912,112,338,236,321,186,299,183,135,97,123,78
12,436914,17341,750,245,770,286,747,228,689,175,315,95,289,69
13,347267,14033,671,100,246,208,252,183,219,166,99,88,76,59
14,357891,14421,682,302,696,610,708,549,666,549,312,273,280,208
15,432252,17300,804,76,202,166,195,135,177,139,78,71,70,48
16,442867,17782,837,91,140,128,162,123,159,130,87,66,62,44
17,401001,15888,663,178,280,242,306,252,294,258,165,123,124,89
18,473071,18901,866,97,242,160,255,150,249,133,116,66,99,51
19,490039,19770,943,163,282,248,354,273,328,208,169,105,137,100
20,373561,15026,715,95,184,158,192,141,180,138,88,71,75,49
21,380290,15130,678,121,374,226,363,192,333,178,152,96,140,81
22,346465,13783,622,219,676,300,657,243,606,182,277,104,253,75
23,359331,14515,693,129,376,272,390,228,334,204,153,115,139,85
24,433023,17272,782,338,754,722,822,594,780,596,380,304,328,236
25,511750,20547,967,97,260,198,261,168,230,176,103,91,94,58
26,364324,14671,702,114,198,144,216,162,211,152,112,80,89,57
27,438532,17716,848,175,230,224,270,216,251,228,156,108,107,77
28,480925,19185,874,80,192,136,198,123,179,107,80,55,72,40
29,407238,16333,762,235,396,348,495,390,478,299,244,125,189,141
