,SimGDA,SimGDA+M,AltGDA,AltGDA+M,EG,EG+M,AltEG,AltEG+M,OGD,OGD+M,AltOGD,AltOGD+M,AlexGDA,AlexGDA+M
0,6953,754,131,95,194,180,213,150,164,146,95,80,76,56
1,8254,888,161,95,282,218,309,186,229,174,122,95,111,79
2,8001,855,150,106,272,188,300,171,222,154,118,84,77,53
3,7656,826,144,104,264,238,288,201,214,191,114,103,104,80
4,8007,847,150,129,340,282,357,237,279,225,147,119,134,89
5,7687,815,146,83,200,198,216,162,171,159,94,83,77,59
6,8270,889,159,95,210,176,234,171,186,158,98,84,86,58
7,7367,768,135,113,234,224,267,207,208,200,113,108,100,75
8,7902,849,155,89,220,176,249,153,189,149,103,71,88,54
9,8593,920,159,137,302,252,351,243,269,225,146,115,130,88
10,7521,810,144,94,194,184,210,156,170,150,98,80,76,54
11,8451,911,161,89,254,198,276,171,206,159,109,89,99,75
12,8051,838,143,119,342,202,381,177,281,159,150,88,137,64
13,7195,778,142,93,226,208,243,180,183,171,96,93,83,64
14,7267,785,144,139,332,284,369,246,274,243,146,125,133,95
15,8026,858,155,80,212,190,219,159,177,152,91,80,78,56
16,8144,873,157,90,182,162,198,153,177,151,94,79,76,54
17,7674,797,134,124,250,234,285,219,220,208,122,110,105,79
18,8413,890,157,92,234,188,255,162,203,156,107,74,92,57
19,8595,928,161,112,248,208,285,204,218,187,119,100,105,76
20,7442,801,144,93,194,188,219,159,172,152,99,82,79,56
21,7478,788,140,91,268,186,294,168,217,149,116,85,106,75
22,7133,753,133,112,320,196,354,174,263,163,140,85,128,63
23,7317,786,144,102,268,232,294,198,217,184,116,99,105,79
24,8030,850,153,153,362,322,390,264,304,266,161,133,145,101
25,8819,942,165,91,240,202,252,171,196,169,108,88,91,63
26,7344,794,148,103,216,180,237,177,191,170,105,90,90,63
27,8087,873,159,126,228,218,261,204,205,198,120,106,99,74
28,8497,894,154,85,212,164,219,150,185,133,96,69,81,51
29,7776,834,144,133,296,240,342,234,264,219,141,110,126,83
