,SimGDA,SimGDA+M,AltGDA,AltGDA+M,EG,EG+M,AltEG,AltEG+M,OGD,OGD+M,AltOGD,AltOGD+M,AlexGDA,AlexGDA+M
0,81557,6722,453,147,332,212,318,165,295,177,210,104,147,68
1,113294,9359,634,188,414,318,393,225,369,298,261,183,182,114
2,107584,8805,590,178,458,106,441,93,410,86,292,76,196,39
3,99200,8150,544,157,344,252,327,189,306,225,217,131,152,74
4,108241,8833,583,254,572,388,543,270,512,363,362,215,251,120
5,100049,8138,533,94,166,140,165,111,143,126,101,81,77,51
6,113739,9340,621,105,192,132,183,108,167,121,120,78,90,52
7,92160,7467,479,126,196,164,186,147,180,164,135,104,88,57
8,105183,8644,584,79,130,126,126,105,123,114,78,70,59,47
9,122281,10036,668,169,300,240,312,213,288,168,206,131,140,87
10,95508,7886,537,112,196,140,192,126,172,129,125,85,95,53
11,118639,9798,664,164,332,286,315,219,294,257,207,159,143,100
12,109145,8857,566,376,822,444,810,303,758,151,540,109,377,99
13,86912,7163,490,108,198,184,192,153,173,166,124,103,91,71
14,89448,7359,493,250,546,418,525,312,489,401,349,244,244,132
15,108062,8848,581,83,150,122,156,102,128,110,93,72,73,52
16,110625,9080,611,87,152,118,153,102,131,104,94,67,72,44
17,100255,8103,508,152,214,176,198,165,208,185,163,112,97,63
18,118164,9661,628,93,170,132,162,111,148,117,102,72,64,46
19,122508,10092,681,133,200,174,210,144,191,146,137,97,98,63
20,93466,7677,520,133,280,196,252,150,248,164,170,93,110,56
21,95170,7721,504,170,380,294,363,213,340,275,241,169,168,100
22,86557,7035,459,325,690,402,699,288,653,144,465,98,325,88
23,89831,7423,500,154,344,262,327,198,306,238,217,144,149,86
24,108355,8822,578,277,542,492,516,381,486,454,346,272,241,151
25,127999,10489,704,99,170,136,168,108,146,122,103,83,79,56
26,91079,7511,507,105,188,132,186,123,165,122,117,77,83,51
27,109633,9047,614,157,174,164,168,150,208,174,167,104,84,58
28,120165,9789,640,78,124,110,114,90,100,100,75,63,54,34
29,101806,8328,554,163,288,258,297,207,278,147,199,123,135,84
